Sms,Label
"Rs.95.15 on Zomato charged via Simpl.
--
Food, groceries, commute, or medicines. Buy Now, Pay Later via Simpl. Know More: https://click.getsimpl.com/vyhm/5b611f85
-
Simpl Pay",1
"Hi! Update your email id through WhatsApp: https://wa.me/message/SIAJ2QKMIOVEI1 or head to Vi App https://bit.ly/371QhWe. This will help as ID verification in case of any SIM related needs.


",0
"Lucknow ya Kolkata ? - watch it LIVE with Vi cricket pack  RC 499 - 2GB/day+Unlimited Calls+1year Disney+ Hotstar mobile pack. https://bit.ly/VHST1
",0
"Mohd,
Check the incredible Acko insurance policy you just bought on Zomato, and add a nominee to it here https://acko.in/t/zwWJOO Save this link for quick access to your policy.",0
"Hi! You can now get your Vi prepaid invoice emailed to you, simply click https://wa.me/message/5GA7LYJN5IETD1 or visit Vi App at https://bit.ly/3IIQ9J8


",0
"Last few hours to apply for BYJU'S Aptitude Test
-Win up to 100% Scholarship
-Get an all-India percentile & more
Apply Now- http://bit.ly/BNAT-Scholarship-5",0
"Extra Data, ONLY on Rs299! Recharge NOW with Rs299 & get EXTRA 500MB Data Daily. 299:2GB/Day + Unlimited Calls for 28 Days. Click bit.ly/Vi121NAT",0
<#> 704982 is your Zomato verification code. Enjoy :-) tzq5yFMlr4q,0
Received Rs.600.00 in your a/c 91XX3635 from One97 Communications Limited on 6-5-2022.Ref no: 5C05RA03uMM5. Queries? Call 01204456456 :PPBL,1
Count#1: Rs 600 paid by 98XXXX4000 at 12:20 AM. It will settle to your bank by 7 am tomorrow or you can transfer now.Visit b.paytm.me :Paytm,1
<#> 388779 is your Zomato verification code. Enjoy :-) tzq5yFMlr4q,0
"Rs.209.0 for Vodafone Idea, Mobile Number 9517990472, on 6 May 2022 11:59 PM charged to your Simpl account. Payment may take up to 3 days to reflect in your biller account. You can use the Operator ID UER2205062359280010 to check the status of your transaction with the biller.

- Simpl Pay",1
"Rs209 recharged! Enjoy Unlimited Calls to All Networks + 4 GB Data + 100 SMS/Day. Valid for 28 Days. Click bit.ly/GetViApp to check balance,expiry,offers & more",0
"Simpl OTP: 2083
-
Unless opted-out, you agree to receive Simpl bill reminder via WhatsApp.
a7W4SY8WGiK
-
Simpl Pay",0
"Dear Mohd salman, Thanks for registering with Zomato. Earn upto Rs. 18000 per month.
Join now to get Extra Bonus of 1000. Please download the app and register https://www.zomato.com/deliver-food/?d=t
Watch this video to know more: https://youtu.be/5SpXmdITXDo",0
"Dear Mohd salman, Thanks for registering with Zomato. Earn upto Rs. 18000 per month.
Join now to get Extra Bonus of 1000. Please download the app and register https://www.zomato.com/deliver-food/?d=t
Watch this video to know more: https://youtu.be/5SpXmdITXDo",0
"Rs.188.0 on Zomato charged via Simpl.
--
Food, groceries, commute, or medicines. Buy Now, Pay Later via Simpl. Know More: https://click.getsimpl.com/vyhm/5b611f85
-
Simpl Pay",1
Your verification OTP on Zomato is 869692. -ZOMATO,0
Use 802667 for two-factor authentication on Facebook.,0
Your Messenger verification code is G-694665,0
282629 is the OTP to login to your Zomato account. DO NOT disclose it to anyone. AlOe4TVDpqm,0
Your Uber code is 1599. Never share this code. qlRnn4A1sbt,0
